experiment_seed,rho_train,split,seed,n_samples,rho_requested,empirical_spurious_correlation,positive_rate,x1_mean,x1_std,x2_mean,x2_std,x3_mean,x3_std
0,0.5,train,3964924996,5000,0.5,0.4964862694922943,0.5054,0.005799751417413907,0.9911408680046992,-0.015354593516613465,1.0073916606303688,0.005662714531656748,0.9787161822309187
0,0.5,validation,3141116543,2000,0.5,0.503887765065067,0.507,0.040117191517034315,0.9996111363440084,0.006449884305291567,0.9896532491284662,-0.006617931898751351,1.01042010661247
0,0.5,test_rho_0.5,2195672835,3000,0.5,0.5016721477077939,0.49266666666666664,-0.012416659440468294,1.0154728908522088,-0.01101651693551563,0.994636010679542,-0.025985265720538924,0.9783124200595259
0,0.5,test_rho_0.3,3305785286,3000,0.3,0.3015022582015966,0.4826666666666667,-0.04132820095278456,1.0057189066476315,0.014920443514331964,1.0200476199420991,0.03789697331128478,1.0045008430573876
0,0.5,test_rho_0.0,272684625,3000,0.0,0.005964930293856666,0.49566666666666664,0.0074718987283899545,0.9991327070480258,-0.010370809142546,1.0188562788626332,0.008211433239499506,1.0078023246541177
0,0.5,test_rho_-0.3,3463361197,3000,-0.3,-0.29755030718693715,0.49466666666666664,-0.0017220561964625839,1.007327636537361,-0.0019329918065810405,0.9970591419529263,-0.04515447984576309,1.01181991732064
0,0.5,test_rho_-0.6,3605626544,3000,-0.6,-0.59570781249314,0.483,-0.030468955390443548,1.0225496174305724,0.023146581513806257,1.019787395161478,0.009558462785860417,0.9801546517693142
0,0.5,test_rho_-0.9,1714800850,3000,-0.9,-0.8979562333520752,0.517,0.015648083106561766,1.0075199128805066,0.00836640061137956,0.9910620509484603,-0.006197598089615359,0.9892518040594122
1,0.5,train,1189033389,5000,0.5,0.5037892162343505,0.511,-0.002851267687717122,1.0141483961572342,-0.04242082037689048,1.000058346875211,-0.013601557660132593,1.0033043448230667
1,0.5,validation,1596810411,2000,0.5,0.5029948889976692,0.5075,-0.019477736279227678,0.987667597729276,-0.00882196586444054,0.989523020802959,0.04127459495093529,0.9908252273857375
1,0.5,test_rho_0.5,430891945,3000,0.5,0.491154848748175,0.49833333333333335,-0.011735126835099788,1.000373768507534,0.012817459012086937,1.0196447038539782,-0.004823463081408453,0.9942670160815487
1,0.5,test_rho_0.3,545812336,3000,0.3,0.26535908230521643,0.496,-0.007281089122935744,1.0103584277053144,-0.007761633179399693,0.9890033015289375,-0.01776128833573164,1.0148048486258838
1,0.5,test_rho_0.0,993981070,3000,0.0,-0.02871538017623103,0.505,-0.006095093696298279,0.9887129805890649,-0.010929552955236465,0.984818765608072,0.006859401652019457,0.9974423979043366
1,0.5,test_rho_-0.3,1291623165,3000,-0.3,-0.2919525307876967,0.495,-0.040694704456091996,1.000035717817557,0.018118646998154995,1.0093328417691056,0.025035126560027474,0.9668304367694347
1,0.5,test_rho_-0.6,3860371301,3000,-0.6,-0.5918584444831673,0.504,0.015169076888416302,1.0060869540510595,-0.026605350370100114,1.0150978975688956,0.012884696086061086,1.0004080967318891
1,0.5,test_rho_-0.9,254781752,3000,-0.9,-0.901138604784521,0.49133333333333334,0.0505491863591799,1.0003251747995954,0.008718660470643689,1.0037426865019308,-0.015859606137324202,0.9976596354667594
2,0.5,train,307626447,5000,0.5,0.5011849552499794,0.493,0.0038490000416785655,1.0049753606169947,0.013159173666764971,0.9776584228192735,0.017275280783525145,1.0092690144243277
2,0.5,validation,1340026844,2000,0.5,0.5246149740748024,0.5165,0.0023398510068584643,1.002190357267069,-0.0032970680699732514,1.0135979449614687,0.02773305158121866,0.9970111460156357
2,0.5,test_rho_0.5,122879922,3000,0.5,0.486018702591005,0.5093333333333333,0.012301774388304326,0.994504919457466,-0.03305882837514161,0.9926940959526387,0.0034268580214033327,0.9754753282163338
2,0.5,test_rho_0.3,1817939786,3000,0.3,0.306123287484022,0.509,0.021358529465028264,0.9864837033742752,-0.005937828946038349,1.0021027365704958,-0.008023082758000509,1.008057385364482
2,0.5,test_rho_0.0,1430895717,3000,0.0,0.0048149973824887626,0.488,-0.013406371195433761,0.9901158176767636,0.010615038527289733,1.0045826591961506,-0.017735661056683765,0.9826140384971432
2,0.5,test_rho_-0.3,3692935197,3000,-0.3,-0.30814425008318935,0.502,0.00015651807400648052,0.9861425902534687,-0.012988884682715482,0.9898208896342358,-0.047959150306873276,1.0044967389045765
2,0.5,test_rho_-0.6,127642757,3000,-0.6,-0.5873068495657203,0.5,0.013365593455181023,0.9983187785294482,-0.0036778729327993816,1.0125245165033332,-0.0013777698080925341,1.0097230057192805
2,0.5,test_rho_-0.9,1464086226,3000,-0.9,-0.899901981166029,0.5046666666666667,-0.0016088541206552443,1.0254113543746948,0.0017798284523801305,1.0205766314965543,-0.02831549221075236,1.0174911788008736
3,0.5,train,457190280,5000,0.5,0.49478302756839093,0.5002,-0.0010784062208208654,1.0006980268429495,0.006750575271618325,0.9975792641782758,0.01632329941638788,1.0011394371605082
3,0.5,validation,960329833,2000,0.5,0.49211893979430654,0.501,0.009480119589488413,1.0107765435767935,-0.002500760785713082,1.0084035607413433,0.011116142668379876,1.0023764929985566
3,0.5,test_rho_0.5,4150971991,3000,0.5,0.48280851529624147,0.496,-0.05031476159764609,1.0162728390346392,-0.0022505698722607064,1.010085003084104,-0.007642142125284395,1.0009497997141688
3,0.5,test_rho_0.3,2908744814,3000,0.3,0.30174779310154104,0.49033333333333334,-0.014934634013312707,0.9831930180877969,0.008495385228169706,0.9833311914593386,-0.01127255691858675,0.9825101996497831
3,0.5,test_rho_0.0,382638744,3000,0.0,0.006688626762417819,0.485,-0.028951776882693802,1.0021033107094868,-0.007575078930315672,0.9897812358056098,0.0017376125866020355,1.0000226489022628
3,0.5,test_rho_-0.3,133089925,3000,-0.3,-0.28134150726401486,0.5053333333333333,0.007870941657646275,1.0176078357391232,-0.02877021450037076,0.9991587894325694,0.02612403539658814,1.0122793464929496
3,0.5,test_rho_-0.6,398865764,3000,-0.6,-0.5978538039746608,0.5016666666666667,-0.008460869138515662,1.014519638920122,-0.020982593392223105,1.0004714445699079,0.023873100722895776,1.0149806620415793
3,0.5,test_rho_-0.9,1138865504,3000,-0.9,-0.8983691388626805,0.5043333333333333,-0.013847494873565012,0.9998877325487802,0.0005754507470474917,1.0203208170116487,0.009020066395410007,1.0178937696941195
4,0.5,train,2570931004,5000,0.5,0.5170592466378252,0.4912,-0.008973586261656901,0.9987483879825647,0.00376283628802315,0.9996152209260507,0.013212364266281583,0.9884467264787081
4,0.5,validation,2882990446,2000,0.5,0.4964117180305821,0.4835,-0.021295821958295512,1.0023069032520764,0.005478387405013596,0.9964745361111815,-0.007863528018070623,1.0072915836127252
4,0.5,test_rho_0.5,1896814714,3000,0.5,0.5047991949619803,0.4673333333333333,-0.03427555515293994,0.992537195285974,0.0344819622293716,0.9988776673129912,-0.0164565473905513,1.0129046068342993
4,0.5,test_rho_0.3,3016127029,3000,0.3,0.3115763784054641,0.48833333333333334,-0.0028934060005389515,1.0073671160473894,-0.0004745173842291675,0.9948112564407933,-0.02949902925304739,1.0122379367468106
4,0.5,test_rho_0.0,2701502683,3000,0.0,0.027831816008773706,0.49766666666666665,0.008983227340177476,0.9995755610338709,0.01572401085338878,1.0036631990140865,0.015427758083004948,0.9885234181021623
4,0.5,test_rho_-0.3,775657222,3000,-0.3,-0.3040439125314464,0.5033333333333333,0.003938612049642035,1.0217698436792517,0.03695436475200048,0.9994386186491578,0.027386038606082755,0.9907428979622134
4,0.5,test_rho_-0.6,3373329293,3000,-0.6,-0.5956616701095556,0.507,-0.020760547937822015,0.9975712908430706,-0.0131078561635679,0.9768049626961839,0.0007815729534298359,1.0201975913749943
4,0.5,test_rho_-0.9,2573780483,3000,-0.9,-0.8976697759250514,0.5053333333333333,0.014200936451655887,1.0228808604373556,-0.015823730997542612,0.9948554124192359,-0.02600525915385036,0.9779299506275687
0,0.7,train,3964924996,5000,0.7,0.6952301170450389,0.5054,0.005799751417413907,0.9911408680046992,-0.015354593516613465,1.0073916606303688,0.005662714531656748,0.9787161822309187
0,0.7,validation,3141116543,2000,0.7,0.703126061583459,0.507,0.040117191517034315,0.9996111363440084,0.006449884305291567,0.9896532491284662,-0.006617931898751351,1.01042010661247
0,0.7,test_rho_0.7,339206452,3000,0.7,0.6841108917978084,0.497,-0.021658623187876796,1.005048160061939,0.004712743217074577,1.0002240787064967,0.005681258831963201,1.017684686106213
0,0.7,test_rho_0.3,3305785286,3000,0.3,0.3015022582015966,0.4826666666666667,-0.04132820095278456,1.0057189066476315,0.014920443514331964,1.0200476199420991,0.03789697331128478,1.0045008430573876
0,0.7,test_rho_0.0,272684625,3000,0.0,0.005964930293856666,0.49566666666666664,0.0074718987283899545,0.9991327070480258,-0.010370809142546,1.0188562788626332,0.008211433239499506,1.0078023246541177
0,0.7,test_rho_-0.3,3463361197,3000,-0.3,-0.29755030718693715,0.49466666666666664,-0.0017220561964625839,1.007327636537361,-0.0019329918065810405,0.9970591419529263,-0.04515447984576309,1.01181991732064
0,0.7,test_rho_-0.6,3605626544,3000,-0.6,-0.59570781249314,0.483,-0.030468955390443548,1.0225496174305724,0.023146581513806257,1.019787395161478,0.009558462785860417,0.9801546517693142
0,0.7,test_rho_-0.9,1714800850,3000,-0.9,-0.8979562333520752,0.517,0.015648083106561766,1.0075199128805066,0.00836640061137956,0.9910620509484603,-0.006197598089615359,0.9892518040594122
